2023-05-24 00:05:462 INFO  LoginPage :40 - Enter User Name: Admin
2023-05-24 00:05:136 INFO  LoginPage :50 - Enter Password: admin123
2023-05-24 00:05:461 INFO  LoginPage :45 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (7ea2a146ceab939be045a8aeeeed8674)] -> xpath: //button[@type='submit']]
2023-05-24 00:05:98 INFO  LoginPage :61 - Verifying Login: [[ChromeDriver: chrome on WINDOWS (7ea2a146ceab939be045a8aeeeed8674)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-05-24 00:05:399 INFO  LoginPage :40 - Enter User Name: Admin
2023-05-24 00:05:564 INFO  LoginPage :50 - Enter Password: admin123
2023-05-24 00:05:820 INFO  LoginPage :45 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (00b8d6ab3e98593e8ecc169d3f7a88c3)] -> xpath: //button[@type='submit']]
2023-05-24 00:05:550 INFO  LoginPage :61 - Verifying Login: [[ChromeDriver: chrome on WINDOWS (00b8d6ab3e98593e8ecc169d3f7a88c3)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-05-24 00:05:88 INFO  LoginPage :40 - Enter User Name: Admin
2023-05-24 00:05:39 INFO  LoginPage :50 - Enter Password: admin123
2023-05-24 00:05:379 INFO  LoginPage :45 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //button[@type='submit']]
2023-05-24 00:05:339 INFO  ViewSystemUsersPage :65 - Clicking on Admin: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-05-24 00:05:758 INFO  ViewSystemUsersPage :70 - Verifying System User Text: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-05-24 00:05:890 INFO  ViewSystemUsersPage :75 - Clicking on Add button: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2023-05-24 00:05:653 INFO  ViewSystemUsersPage :80 - Verifying User added text: Add User
2023-05-24 00:05:485 INFO  ViewSystemUsersPage :85 - Selecting Admin from Admin dropdown: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Admin')]'
2023-05-24 00:05:384 INFO  ViewSystemUsersPage :93 - Entering Employee name: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-autocomplete-wrapper']//*[contains(text(),'Goutam  Ganesh')]'
2023-05-24 00:05:221 INFO  ViewSystemUsersPage :100 - Entering User: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[4]/div[1]/div[2]/input[1]]
2023-05-24 00:05:270 INFO  ViewSystemUsersPage :113 - Selecting Status Enable: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Enabled')]'
2023-05-24 00:05:571 INFO  ViewSystemUsersPage :121 - Entering Password: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[1]/div[1]/div[2]/input[1]]
2023-05-24 00:05:776 INFO  ViewSystemUsersPage :126 - Entering Confirm Password: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[2]/div[1]/div[2]/input[1]]
2023-05-24 00:05:971 INFO  ViewSystemUsersPage :131 - Clicking on Save: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2023-05-24 00:05:797 INFO  AddUserPage :62 - Entering User Name: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[1]/div[1]/div[2]/input[1]]
2023-05-24 00:05:318 INFO  AddUserPage :67 - Selecting Role: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //div[@class='oxd-grid-4 orangehrm-full-width-grid']/div[2]/div/div[2]/div/div/div[2]/i]
2023-05-24 00:05:119 INFO  AddUserPage :81 - Selecting Status Disable: [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //div[contains(text(),'Enabled')]]
2023-05-24 00:05:229 INFO  AddUserPage :88 - Clicking on search button [[ChromeDriver: chrome on WINDOWS (7ce414c9a73b4f15f72dbf77806cc955)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2023-05-24 00:05:385 INFO  AddUserPage :98 - Clicking on Checkbox: Proxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='app']/div[1]/div[2]/div[2]/div[1]/div[2]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/span[1]/i[1]'
2023-05-24 00:05:68 INFO  LoginPage :40 - Enter User Name: Admin
2023-05-24 00:05:420 INFO  LoginPage :50 - Enter Password: admin123
2023-05-24 00:05:692 INFO  LoginPage :45 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (5c0bc287145af9fd27748d52e7a74927)] -> xpath: //button[@type='submit']]
2023-05-24 00:05:231 INFO  DashboardPage :31 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on WINDOWS (5c0bc287145af9fd27748d52e7a74927)] -> xpath: //img[@alt='client brand banner']]
2023-05-24 00:05:743 INFO  LoginPage :40 - Enter User Name: Admin
2023-05-24 00:05:271 INFO  LoginPage :50 - Enter Password: admin123
2023-05-24 00:05:460 INFO  LoginPage :45 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (f4fd0522a28c1aeb9775ffccc4ceba48)] -> xpath: //button[@type='submit']]
2023-05-24 00:05:626 INFO  ViewSystemUsersPage :65 - Clicking on Admin: [[ChromeDriver: chrome on WINDOWS (f4fd0522a28c1aeb9775ffccc4ceba48)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-05-24 00:05:233 INFO  ViewSystemUsersPage :70 - Verifying System User Text: [[ChromeDriver: chrome on WINDOWS (f4fd0522a28c1aeb9775ffccc4ceba48)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2023-05-24 00:05:347 INFO  AddUserPage :62 - Entering User Name: [[ChromeDriver: chrome on WINDOWS (f4fd0522a28c1aeb9775ffccc4ceba48)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[1]/div[1]/div[2]/input[1]]
2023-05-24 00:05:213 INFO  AddUserPage :67 - Selecting Role: [[ChromeDriver: chrome on WINDOWS (f4fd0522a28c1aeb9775ffccc4ceba48)] -> xpath: //div[@class='oxd-grid-4 orangehrm-full-width-grid']/div[2]/div/div[2]/div/div/div[2]/i]
2023-05-24 00:05:73 INFO  AddUserPage :74 - Selecting Status Disable: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Disabled')]'
2023-05-24 00:05:269 INFO  AddUserPage :88 - Clicking on search button [[ChromeDriver: chrome on WINDOWS (f4fd0522a28c1aeb9775ffccc4ceba48)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2023-05-24 00:05:570 INFO  AddUserPage :93 - Verifying Result Text: [[ChromeDriver: chrome on WINDOWS (f4fd0522a28c1aeb9775ffccc4ceba48)] -> xpath: //div[@class='orangehrm-paper-container']/div[2]/div[1]/span[1]]
2023-05-24 00:05:691 INFO  LoginPage :40 - Enter User Name: Admin
2023-05-24 00:05:963 INFO  LoginPage :50 - Enter Password: admin123
2023-05-24 00:05:228 INFO  LoginPage :45 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (3dc2a1f6c7921a52d7ae9840a48aca10)] -> xpath: //button[@type='submit']]
2023-05-24 00:05:872 INFO  LoginPage :61 - Verifying Login: [[ChromeDriver: chrome on WINDOWS (3dc2a1f6c7921a52d7ae9840a48aca10)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-05-24 00:05:713 INFO  LoginPage :40 - Enter User Name: Admin
2023-05-24 00:05:604 INFO  LoginPage :50 - Enter Password: admin123
2023-05-24 00:05:896 INFO  LoginPage :45 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (befc694df24de25d0105507f88499588)] -> xpath: //button[@type='submit']]
2023-05-24 00:05:308 INFO  ViewSystemUsersPage :65 - Clicking on Admin: [[ChromeDriver: chrome on WINDOWS (befc694df24de25d0105507f88499588)] -> xpath: //a[@href='/web/index.php/admin/viewAdminModule']]
2023-05-24 00:05:155 INFO  ViewSystemUsersPage :70 - Verifying System User Text: [[ChromeDriver: chrome on WINDOWS (befc694df24de25d0105507f88499588)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
